scoring_interval,end_time,points,background,reinforced_square
11,30,1,yellow,target
20,30,1,yellow,target
16,30,1,yellow,target
18,30,1,yellow,target
14,30,1,yellow,target
19,30,1,yellow,target
10,30,1,yellow,target
15,30,1,yellow,target
17,30,1,yellow,target
13,30,1,yellow,target
12,30,1,yellow,target
11,30,1,yellow,target
20,30,1,yellow,target
16,30,1,yellow,target
18,30,1,yellow,target
14,30,1,yellow,target
19,30,1,yellow,target
10,30,1,yellow,target
15,30,1,yellow,target
17,30,1,yellow,target
13,30,1,yellow,target
12,30,1,yellow,target
11,30,1,yellow,target
20,30,1,yellow,target
16,30,1,yellow,target
18,30,1,yellow,target
14,30,1,yellow,target
19,30,1,yellow,target
10,30,1,yellow,target
15,30,1,yellow,target
17,30,1,yellow,target
13,30,1,yellow,target
12,30,1,yellow,target
11,30,1,yellow,target
20,30,1,yellow,target
16,30,1,yellow,target
18,30,1,yellow,target
14,30,1,yellow,target
19,30,1,yellow,target
10,30,1,yellow,target
15,30,1,yellow,target
17,30,1,yellow,target
13,30,1,yellow,target
