scoring_interval,end_time,points,background,reinforced_square
11,30,1,green,alternative
20,30,1,green,alternative
16,30,1,green,alternative
18,30,1,green,alternative
14,30,1,green,alternative
19,30,1,green,alternative
10,30,1,green,alternative
15,30,1,green,alternative
17,30,1,green,alternative
13,30,1,green,alternative
12,30,1,green,alternative
11,30,1,green,alternative
20,30,1,green,alternative
16,30,1,green,alternative
18,30,1,green,alternative
14,30,1,green,alternative
19,30,1,green,alternative
10,30,1,green,alternative
15,30,1,green,alternative
17,30,1,green,alternative
13,30,1,green,alternative
12,30,1,green,alternative
11,30,1,green,alternative
20,30,1,green,alternative
16,30,1,green,alternative
18,30,1,green,alternative
14,30,1,green,alternative
19,30,1,green,alternative
10,30,1,green,alternative
15,30,1,green,alternative
17,30,1,green,alternative
13,30,1,green,alternative
12,30,1,green,alternative
11,30,1,green,alternative
20,30,1,green,alternative
16,30,1,green,alternative
18,30,1,green,alternative
14,30,1,green,alternative
19,30,1,green,alternative
10,30,1,green,alternative
15,30,1,green,alternative
17,30,1,green,alternative
13,30,1,green,alternative
