scoring_interval,end_time,points,background,reinforced_square
11,5,1,green,alternative
20,5,1,green,alternative
16,5,1,green,alternative
18,5,1,green,alternative
14,5,1,green,alternative
19,5,1,green,alternative
10,5,1,green,alternative
15,5,1,green,alternative
17,5,1,green,alternative
13,5,1,green,alternative
12,5,1,green,alternative
11,5,1,green,alternative
20,5,1,green,alternative
16,5,1,green,alternative
18,5,1,green,alternative
14,5,1,green,alternative
19,5,1,green,alternative
10,5,1,green,alternative
15,5,1,green,alternative
17,5,1,green,alternative
13,5,1,green,alternative
12,5,1,green,alternative
11,5,1,green,alternative
20,5,1,green,alternative
16,5,1,green,alternative
18,5,1,green,alternative
14,5,1,green,alternative
19,5,1,green,alternative
10,5,1,green,alternative
15,5,1,green,alternative
17,5,1,green,alternative
13,5,1,green,alternative
12,5,1,green,alternative
11,5,1,green,alternative
20,5,1,green,alternative
16,5,1,green,alternative
18,5,1,green,alternative
14,5,1,green,alternative
19,5,1,green,alternative
10,5,1,green,alternative
15,5,1,green,alternative
17,5,1,green,alternative
13,5,1,green,alternative
